No.,US-Equity-SNP,US-Equity-1000,US-Equity-Russell-2000,US-Equity-All
533,,BCPC,PTGX,PTGX
534,,FELE,CBRL,CBRL
535,,BMI,AKR,AKR
536,,ABG,DVAX,DVAX
537,,ETRN,ARI,ARI
538,,GKOS,OMI,OMI
539,,SLAB,AMWD,AMWD
540,,HOMB,COHU,COHU
541,,GATX,ATRC,ATRC
542,,MMSI,STC,STC
543,,FCFS,ASAN,ASAN
544,,KBH,NBTB,NBTB
545,,BBIO,WKC,WKC
546,,AEL,JACK,JACK
547,,HLNE,SFL,SFL
548,,CADE,GEF,GEF
549,,AMR,VERA,VERA
550,,SKY,NTB,NTB
551,,SYNA,CUBI,CUBI
552,,GBCI,APPN,APPN
553,,HRI,PHR,PHR
554,,POWI,EFSC,EFSC
555,,MATX,EXTR,EXTR
556,,FUL,NVEE,NVEE
557,,RVMD,CODI,CODI
558,,POR,RC,RC
559,,CVLT,SATS,SATS
560,,FFIN,NMRK,NMRK
561,,PTEN,SNDX,SNDX
562,,MOD,MXL,MXL
563,,PECO,NTCT,NTCT
564,,COKE,RXST,RXST
565,,NJR,STAA,STAA
566,,AEO,BANR,BANR
567,,ACA,CNNE,CNNE
568,,ALIT,HLIT,HLIT
569,,INSM,CHCO,CHCO
570,,EXPO,GPOR,GPOR
571,,FOLD,OXM,OXM
572,,KNF,JAMF,JAMF
573,,LNTH,AGIO,AGIO
574,,KAI,NSSC,NSSC
575,,ACLS,HBI,HBI
576,,HWC,DDS,DDS
577,,AEIS,XHR,XHR
578,,VAL,SBH,SBH
579,,HP,NWBI,NWBI
580,,EPRT,HLIO,HLIO
581,,JXN,GBX,GBX
582,,MGY,KN,KN
583,,MDC,ADUS,ADUS
584,,BCO,MSGE,MSGE
585,,RDN,ATEC,ATEC
586,,CRC,DRS,DRS
587,,ENS,USPH,USPH
588,,NEOG,TRUP,TRUP
589,,MAC,KURA,KURA
590,,TEX,PRG,PRG
591,,TNET,HLX,HLX
592,,GPI,BMBL,BMBL
593,,SWX,KYMR,KYMR
594,,BOX,MORF,MORF
595,,OTTR,ZETA,ZETA
596,,VLY,POWL,POWL
597,,LANC,HTH,HTH
598,,SHAK,MGPI,MGPI
599,,GMS,GRBK,GRBK
600,,UMBF,SUPN,SUPN
601,,RPD,FBNC,FBNC
602,,HGV,LESL,LESL
603,,IRTC,NAVI,NAVI
604,,BDC,PWSC,PWSC
605,,HAE,UFPT,UFPT
606,,ORA,HTLF,HTLF
607,,WIRE,LOB,LOB
608,,PCH,SYBT,SYBT
609,,WDFC,FBK,FBK
610,,AVNT,CPRX,CPRX
611,,APLE,LNN,LNN
612,,BXMT,CTS,CTS
613,,ITRI,GEO,GEO
614,,IRT,RKLB,RKLB
615,,BKH,CXM,CXM
616,,KTB,DEI,DEI
617,,ESGR,HMN,HMN
618,,CSWI,FCF,FCF
619,,ACIW,UTZ,UTZ
620,,PBH,SAGE,SAGE
621,,NPO,PCRX,PCRX
622,,EVH,ALEX,ALEX
623,,ALE,HWKN,HWKN
624,,TPH,GIII,GIII
625,,SANM,KFRC,KFRC
626,,AMKR,ADEA,ADEA
627,,GT,NWN,NWN
628,,MC,ESRT,ESRT
629,,ARWR,MGNI,MGNI
630,,ARCB,KROS,KROS
631,,BL,CASH,CASH
632,,SFBS,ELME,ELME
633,,LBRT,GTY,GTY
634,,OGS,PAYO,PAYO
635,,ALRM,CAL,CAL
636,,VC,INBX,INBX
637,,AXNX,APOG,APOG
638,,HI,LTC,LTC
639,,PIPR,SVC,SVC
640,,MHO,LGND,LGND
641,,NSP,OEC,OEC
642,,FRSH,ALGT,ALGT
643,,BHVN,PAR,PAR
644,,DY,BUSE,BUSE
645,,STNG,DNOW,DNOW
646,,CCOI,ICHR,ICHR
647,,REZI,OMCL,OMCL
648,,CBZ,SMTC,SMTC
649,,DBRG,LZ,LZ
650,,AXSM,STEL,STEL
651,,JBT,MCY,MCY
652,,ITGR,SCS,SCS
653,,ADNT,CARS,CARS
654,,AVAV,NOVA,NOVA
655,,MDGL,KAMN,KAMN
656,,SMPL,OSW,OSW
657,,SHOO,LADR,LADR
658,,PGNY,UNIT,UNIT
659,,FORM,WLY,WLY
660,,CVCO,JBI,JBI
661,,SBRA,VRE,VRE
662,,TDW,HOPE,HOPE
663,,SWTX,XPEL,XPEL
664,,CRS,WRBY,WRBY
665,,KFY,SAFT,SAFT
666,,ABCB,XNCR,XNCR
667,,NARI,DO,DO
668,,PNM,KW,KW
669,,BLKB,NNI,NNI
670,,BRZE,CHEF,CHEF
671,,RIOT,HIMS,HIMS
672,,ZD,UVV,UVV
673,,VRRM,CMCO,CMCO
674,,CNO,ECPG,ECPG
675,,IOSP,WNC,WNC
676,,SR,TWO,TWO
677,,MGRC,PMT,PMT
678,,MQ,BKE,BKE
679,,DIOD,PRTA,PRTA
680,,CNX,LPG,LPG
681,,SPT,SG,SG
682,,WD,BYON,BYON
683,,NWE,LMAT,LMAT
684,,AX,AVPT,AVPT
685,,ASB,STBA,STBA
686,,PSN,FLNC,FLNC
687,,VKTX,SSTK,SSTK
688,,IDCC,NBHC,NBHC
689,,ACAD,NTST,NTST
690,,LCII,INTA,INTA
691,,HCC,WABC,WABC
692,,UCBI,BKD,BKD
693,,BNL,TCBK,TCBK
694,,CERE,DEA,DEA
695,,ARCH,FIZZ,FIZZ
696,,WHD,ZUO,ZUO
697,,NOG,IMKTA,IMKTA
698,,TGNA,MRTN,MRTN
699,,AMN,COLL,COLL
700,,HELE,PRDO,PRDO
701,,YELP,EVBG,EVBG
702,,RUSHA,ADMA,ADMA
703,,AIN,HRMY,HRMY
704,,SLG,SABR,SABR
705,,FOXF,XMTR,XMTR
706,,OSCR,NX,NX
707,,HUBG,INDI,INDI
708,,DOOR,NWLI,NWLI
709,,GFF,FDMT,FDMT
710,,VSH,DNUT,DNUT
711,,ICFI,MFA,MFA
712,,IGT,PFS,PFS
713,,TCBI,COMP,COMP
714,,RRR,CWH,CWH
715,,IBOC,AIV,AIV
716,,TMDX,SAFE,SAFE
717,,BTU,AAT,AAT
718,,MTRN,AKRO,AKRO
719,,SKT,WINA,WINA
720,,SHLS,BHE,BHE
721,,AWR,SPHR,SPHR
722,,KWR,NIC,NIC
723,,CDP,PEBO,PEBO
724,,DOC,SCHL,SCHL
725,,EVTC,FBRT,FBRT
726,,KLIC,VTLE,VTLE
727,,SXT,DGII,DGII
728,,SITC,GERN,GERN
729,,IDYA,SASR,SASR
730,,SEM,ALKT,ALKT
731,,ABM,CTKB,CTKB
732,,IPAR,PDFS,PDFS
733,,GHC,FWRD,FWRD
734,,HASI,DYN,DYN
735,,KOS,BCRX,BCRX
736,,CWT,SCSC,SCSC
737,,LIVN,MGNX,MGNX
738,,APAM,CVI,CVI
739,,FBP,AUR,AUR
740,,BOOT,MODN,MODN
741,,WSFS,KOP,KOP
742,,LGIH,EIG,EIG
743,,AVA,TRS,TRS
744,,UNF,WMK,WMK
745,,ROCK,KALU,KALU
746,,URBN,INFN,INFN
747,,FTDR,AMSF,AMSF
748,,PLXS,QCRH,QCRH
749,,OI,SGH,SGH
750,,KTOS,CHGG,CHGG
751,,PAGS,VCTR,VCTR
752,,CATY,BXC,BXC
753,,LXP,MBUU,MBUU
754,,ESE,MNRO,MNRO
755,,SGRY,GABC,GABC
756,,MYRG,CIM,CIM
757,,WERN,BFH,BFH
758,,CLSK,RYI,RYI
759,,DOCN,MRC,MRC
760,,IIPR,VICR,VICR
761,,BGC,SP,SP
762,,RYTM,WT,WT
763,,CRDO,VBTX,VBTX
